Usia,IPK,SKD,Wawancara,Mengajar,Lulus,Lokasi,Lektor
26,3.88,31.927,12.4,11.2,0,3194. UNIVERSITAS HALU OLEO FAKULTAS KESEHATAN MASYARAKAT JURUSAN KESEHATAN MASYARAKAT ,tidak
34,3.86,29.382,10.4,9.6,0,3194. UNIVERSITAS HALU OLEO FAKULTAS KESEHATAN MASYARAKAT JURUSAN KESEHATAN MASYARAKAT ,tidak
26,3.76,29.236,10.4,9.6,0,3194. UNIVERSITAS HALU OLEO FAKULTAS KESEHATAN MASYARAKAT JURUSAN KESEHATAN MASYARAKAT ,tidak
28,3.5,32.8,17.2,18.0,1,4844. UNIVERSITAS PALANGKARAYA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
26,3.94,31.854,18.0,14.4,1,4844. UNIVERSITAS PALANGKARAYA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
29,3.72,32.582,18.8,14.8,0,4844. UNIVERSITAS PALANGKARAYA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
26,3.66,31.418,16.0,13.2,0,4844. UNIVERSITAS PALANGKARAYA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
30,3.48,32.727,16.0,14.0,0,4844. UNIVERSITAS PALANGKARAYA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
29,3.29,30.691,18.0,14.0,0,4844. UNIVERSITAS PALANGKARAYA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
25,3.85,29.891,17.6,13.6,1,2672. POLITEKNIK NEGERI UJUNG PANDANG JURUSAN TEKNIK ELEKTRO ,tidak
31,3.83,28.291,15.6,14.0,1,2672. POLITEKNIK NEGERI UJUNG PANDANG JURUSAN TEKNIK ELEKTRO ,tidak
33,3.8,28.0,16.0,10.0,1,2672. POLITEKNIK NEGERI UJUNG PANDANG JURUSAN TEKNIK ELEKTRO ,tidak
