Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
16 Aug,191,"3,578","1,598",196,158,675,"19,708",121,"4,668","7,285","20,839",407,"1,544","1,610","4,424",286,372,"1,646","2,598",896,"1,967","2,613",829,"7,753",197,247,601,"1,029",946,450,"2,017",211,138,"1,305",,
17 Aug,191,"3,624","1,617",196,158,682,"19,917",122,"4,713","7,327","21,255",407,"1,610","1,640","4,550",288,382,"1,659","2,626",914,"2,035","2,659",842,"7,840",197,278,618,"1,035",946,451,"2,021",211,138,"1,309",,
18 Aug,191,"3,648","1,624",198,158,695,"20,505",122,"4,729","7,422","21,632",409,"1,644","1,710","4,590",294,382,"1,678","2,641",918,"2,117","2,740",849,"8,063",197,278,640,"1,035",974,485,"2,021",217,138,"1,362",,
19 Aug,191,"3,701","1,655",201,158,713,"21,071",126,"4,777","7,552","22,076",410,"1,700","1,710","4,726",298,389,"1,699","2,679",938,"2,155","2,834",849,"8,131",197,280,659,"1,493",995,510,"2,027",218,138,"1,401",,
20 Aug,191,"3,751","1,665",201,159,765,"21,795",126,"4,848","7,688","22,485",424,"1,721","1,722","4,800",298,401,"1,728","2,692",957,"2,191","2,914",865,"8,210",197,281,695,"1,494",995,511,"2,091",227,138,"1,448",,
21 Aug,191,"3,814","1,699",201,160,793,"22,228",130,"4,970","7,788","22,899",424,"1,774","1,742","5,077",298,446,"1,838","2,742",999,"2,325","2,984",884,"8,300",199,282,721,"1,494",995,512,"2,241",227,138,"1,476",,
22 Aug,191,"3,881","1,729",201,160,808,"22,877",131,"5,151","7,931","23,301",429,"1,858","1,767","5,307",307,446,"1,864","2,761","1,006","2,354","3,064",893,"8,369",206,283,751,"1,494",997,518,"2,277",230,148,"1,508",,
23 Aug,191,"3,953","1,749",201,164,826,"23,567",131,"5,668","7,989","23,632",448,"1,910","1,805","5,383",311,465,"1,879","2,820","1,043","2,421","3,140",900,"8,461",206,283,767,"1,494",997,518,"2,277",237,149,"1,515",,
24 Aug,191,"4,007","1,791",203,165,846,"25,463",131,"5,876","8,088","23,953",448,"1,920","1,815","5,430",314,468,"1,887","2,905","1,055","2,455","3,205",908,"8,554",207,295,819,"1,494","1,007",524,"2,685",237,149,"1,565",,
25 Aug,191,"4,058","1,807",208,166,857,"25,987",133,"5,881","8,208","24,301",448,"2,087","1,847","5,496",316,488,"1,905","2,939","1,075","2,485","3,312",921,"8,692",210,295,831,"1,508","1,052",524,"2,685",240,149,"1,565",,
26 Aug,191,"4,115","1,836",212,171,892,"26,750",137,"5,911","8,366","24,649",468,"2,163","1,877","5,637",318,526,"1,921","2,956","1,083","2,519","3,442",946,"8,801",212,310,854,"1,508","1,083",546,"3,024",244,149,"1,592",,
27 Aug,191,"4,189","1,857",212,171,923,"28,288",137,"5,997","8,581","24,990",509,"2,214","1,901","5,821",320,533,"1,942","3,015","1,138","2,539","3,559",991,"8,894",213,321,872,"1,561","1,099",555,"3,036",248,155,"1,603",,
28 Aug,191,"4,260","1,873",214,173,947,"29,169",143,"6,064","8,701","25,228",509,"2,258","1,901","6,001",323,534,"1,969","3,054","1,149","2,601","3,693","1,008","9,000",218,321,914,"1,561","1,100",562,"3,089",261,156,"1,755",,
29 Aug,191,"4,327","1,981",217,173,968,"29,768",149,"6,072","8,791","25,533",540,"2,300","1,941","6,150",324,552,"1,996","3,115","1,157","2,650","3,804","1,008","9,080",218,321,937,"1,579","1,102",562,"3,109",263,156,"1,768",,
30 Aug,246,"4,355","2,018",217,182,976,"30,134",149,"6,093","8,873","25,756",540,"2,318","1,976","6,246",325,552,"2,020","3,131","1,196","2,702","3,906","1,049","9,160",219,324,965,"1,579","1,102",563,"3,114",270,156,"1,773",,
31 Aug,312,"4,434","2,043",223,186,"1,026","30,538",156,"6,150","8,973","26,139",557,"2,390","1,998","6,288",329,575,"2,047","3,157","1,223","2,738","3,966","1,072","9,247",220,329,"1,008","1,579","1,158",569,"3,114",270,156,"1,789",,
1 Sep,395,"4,534","2,104",223,186,"1,036","31,267",156,"6,202","9,094","26,463",557,"2,407","2,018","6,389",335,575,"2,075","3,222","1,242","2,771","4,065","1,087","9,322",220,329,"1,028","1,579","1,196",592,"3,139",277,156,"1,816",,
